AW-1-O-1-T-D2,,AW-1-O-1-M-D2,,AW-1-O-1-L-D2,,AW-1-O-2-T-D2,,AW-1-O-2-M-D2,,AW-1-O-2-L-D2,,AW-1-O-3-T-D2,,AW-1-O-3-M-D2,,AW-1-O-3-L-D2,,AW-1-O-4-T-D2,,AW-1-O-4-M-D2,,AW-1-O-4-L-D2,
12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 40.5058' N  36° 16.8475' E
Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark
4.57E+03,3.94E+03,4.53E+03,3.85E+03,4.60E+03,3.87E+03,4.74E+03,3.91E+03,4.77E+03,3.88E+03,4.62E+03,3.88E+03,4.65E+03,3.88E+03,4.58E+03,3.88E+03,4.66E+03,3.92E+03,4.65E+03,3.87E+03,4.63E+03,3.89E+03,4.56E+03,6.46E+03
4.62E+03,3.91E+03,4.59E+03,3.84E+03,4.65E+03,3.86E+03,4.75E+03,3.90E+03,4.83E+03,3.85E+03,4.68E+03,3.91E+03,4.72E+03,3.86E+03,4.65E+03,3.85E+03,4.73E+03,3.93E+03,4.69E+03,3.88E+03,4.69E+03,3.91E+03,4.63E+03,6.51E+03
4.63E+03,3.91E+03,4.63E+03,3.86E+03,4.69E+03,3.85E+03,4.77E+03,3.91E+03,4.83E+03,3.88E+03,4.70E+03,3.88E+03,4.73E+03,3.85E+03,4.70E+03,3.88E+03,4.73E+03,3.94E+03,4.74E+03,3.89E+03,4.71E+03,3.89E+03,4.65E+03,6.62E+03
4.71E+03,3.95E+03,4.69E+03,3.86E+03,4.74E+03,3.86E+03,4.82E+03,3.94E+03,4.91E+03,3.89E+03,4.72E+03,3.91E+03,4.83E+03,3.85E+03,4.71E+03,3.86E+03,4.77E+03,3.92E+03,4.81E+03,3.89E+03,4.74E+03,3.88E+03,4.68E+03,6.68E+03
4.75E+03,3.96E+03,4.76E+03,3.84E+03,4.79E+03,3.85E+03,4.87E+03,3.92E+03,4.92E+03,3.91E+03,4.75E+03,3.92E+03,4.89E+03,3.87E+03,4.78E+03,3.85E+03,4.82E+03,3.94E+03,4.88E+03,3.89E+03,4.79E+03,3.89E+03,4.73E+03,6.73E+03
4.81E+03,3.96E+03,4.80E+03,3.87E+03,4.83E+03,3.88E+03,4.92E+03,3.94E+03,5.02E+03,3.90E+03,4.80E+03,3.91E+03,4.93E+03,3.86E+03,4.82E+03,3.86E+03,4.87E+03,3.94E+03,4.93E+03,3.88E+03,4.82E+03,3.88E+03,4.74E+03,6.79E+03
4.83E+03,3.95E+03,4.82E+03,3.87E+03,4.86E+03,3.87E+03,4.96E+03,3.94E+03,5.05E+03,3.87E+03,4.84E+03,3.87E+03,5.00E+03,3.85E+03,4.86E+03,3.86E+03,4.93E+03,3.95E+03,4.99E+03,3.89E+03,4.85E+03,3.86E+03,4.81E+03,6.81E+03
4.93E+03,3.95E+03,4.89E+03,3.88E+03,4.93E+03,3.87E+03,5.03E+03,3.91E+03,5.12E+03,3.88E+03,4.89E+03,3.89E+03,5.10E+03,3.86E+03,4.93E+03,3.88E+03,5.01E+03,3.97E+03,5.06E+03,3.89E+03,4.93E+03,3.89E+03,4.89E+03,6.83E+03
4.99E+03,3.96E+03,4.94E+03,3.85E+03,4.98E+03,3.87E+03,5.08E+03,3.95E+03,5.14E+03,3.90E+03,4.94E+03,3.90E+03,5.17E+03,3.84E+03,4.97E+03,3.87E+03,4.98E+03,3.98E+03,5.15E+03,3.87E+03,4.96E+03,3.91E+03,4.92E+03,6.83E+03
5.01E+03,3.97E+03,5.00E+03,3.86E+03,5.01E+03,3.90E+03,5.13E+03,3.93E+03,5.22E+03,3.87E+03,4.94E+03,3.89E+03,5.24E+03,3.86E+03,5.02E+03,3.86E+03,5.02E+03,3.96E+03,5.23E+03,3.89E+03,4.99E+03,3.89E+03,4.96E+03,6.83E+03
5.06E+03,3.96E+03,5.08E+03,3.87E+03,5.06E+03,3.86E+03,5.18E+03,3.94E+03,5.25E+03,3.88E+03,5.01E+03,3.91E+03,5.31E+03,3.85E+03,5.06E+03,3.88E+03,5.07E+03,3.97E+03,5.28E+03,3.89E+03,5.03E+03,3.89E+03,5.02E+03,6.79E+03
5.14E+03,3.98E+03,5.10E+03,3.86E+03,5.09E+03,3.88E+03,5.21E+03,3.94E+03,5.32E+03,3.90E+03,5.04E+03,3.92E+03,5.42E+03,3.86E+03,5.11E+03,3.86E+03,5.15E+03,3.96E+03,5.33E+03,3.91E+03,5.06E+03,3.91E+03,5.01E+03,6.74E+03
5.22E+03,3.96E+03,5.17E+03,3.88E+03,5.17E+03,3.85E+03,5.27E+03,3.92E+03,5.36E+03,3.88E+03,5.06E+03,3.91E+03,5.46E+03,3.86E+03,5.10E+03,3.86E+03,5.20E+03,3.95E+03,5.42E+03,3.85E+03,5.10E+03,3.89E+03,5.07E+03,6.67E+03
5.23E+03,3.96E+03,5.20E+03,3.86E+03,5.17E+03,3.85E+03,5.29E+03,3.91E+03,5.40E+03,3.91E+03,5.08E+03,3.88E+03,5.56E+03,3.87E+03,5.13E+03,3.85E+03,5.25E+03,3.94E+03,5.45E+03,3.87E+03,5.14E+03,3.88E+03,5.10E+03,6.69E+03
