"","ID","Location","site_num","Tapping","Tree_num","C_pos.","Device","nm","refl","Tree_ID","r800","NDVI","SR"
"134","DG-1-T-21-M-D2","DG-1",1,"T",21,"M","D2",793,29.433115778317,"DG-1-T-21-M",29.433115778317,0.806610678875438,9.03746196265243
"135","DG-1-T-21-T-D2","DG-1",1,"T",21,"T","D2",793,14.3294564771886,"DG-1-T-21-T",14.3294564771886,0.604789770579524,4.05449024824428
"136","DG-1-T-24-L-D2","DG-1",1,"T",24,"L","D2",793,13.1755529798126,"DG-1-T-24-L",13.1755529798126,0.736971619623869,6.58355162179551
"137","DG-1-T-24-M-D2","DG-1",1,"T",24,"M","D2",793,14.9387869290394,"DG-1-T-24-M",14.9387869290394,0.636032920309884,4.47314354262365
"138","DG-1-T-24-T-D2","DG-1",1,"T",24,"T","D2",793,12.7378376099604,"DG-1-T-24-T",12.7378376099604,0.676727375212894,5.19589145603316
"139","DG-1-T-27-L-D2","DG-1",1,"T",27,"L","D2",793,17.088505854364,"DG-1-T-27-L",17.088505854364,0.691869901282193,5.50051003639114
"140","DG-1-T-27-M-D2","DG-1",1,"T",27,"M","D2",793,23.5126858338576,"DG-1-T-27-M",23.5126858338576,0.677202546312199,5.09429988414957
"141","DG-1-T-27-T-D2","DG-1",1,"T",27,"T","D2",793,13.3242661357928,"DG-1-T-27-T",13.3242661357928,0.664094091468229,4.90635953158389
"142","DG-1-T-30-L-D2","DG-1",1,"T",30,"L","D2",793,16.7108813743138,"DG-1-T-30-L",16.7108813743138,0.693512625957363,5.58115759279898
"143","DG-1-T-30-M-D2","DG-1",1,"T",30,"M","D2",793,11.7321583314974,"DG-1-T-30-M",11.7321583314974,0.616839719375788,4.16879695919073
"144","DG-1-T-30-T-D2","DG-1",1,"T",30,"T","D2",793,204.757093425606,"DG-1-T-30-T",204.757093425606,0.975116444180492,55.3091576497035
"145","LLT-1-I-03-L-D2","LLT-1",1,"I",3,"L","D2",793,0.402472390696459,"LLT-1-I-03-L",0.402472390696459,0.623795335426696,4.30728777577719
"146","LLT-1-I-03-M-D2","LLT-1",1,"I",3,"M","D2",793,0.441677783946372,"LLT-1-I-03-M",0.441677783946372,0.611965624016671,4.17734419274338
"147","LLT-1-I-03-T-D2","LLT-1",1,"I",3,"T","D2",793,0.437195742410734,"LLT-1-I-03-T",0.437195742410734,0.591318197507104,3.91793903100702
"148","LLT-1-I-06-L-D2","LLT-1",1,"I",6,"L","D2",793,0.417449031375491,"LLT-1-I-06-L",0.417449031375491,0.658646179888057,4.87625480984107
"149","LLT-1-I-06-M-D2","LLT-1",1,"I",6,"M","D2",793,0.424538214484833,"LLT-1-I-06-M",0.424538214484833,0.511362339554895,3.10730926920954
"150","LLT-1-I-06-T-D2","LLT-1",1,"I",6,"T","D2",793,0.410810091188923,"LLT-1-I-06-T",0.410810091188923,0.644196182535952,4.6671624512979
"151","LLT-1-I-09-L-D2","LLT-1",1,"I",9,"L","D2",793,0.388164232976566,"LLT-1-I-09-L",0.388164232976566,0.621889558324554,4.29736464744658
"152","LLT-1-I-09-M-D2","LLT-1",1,"I",9,"M","D2",793,0.455905008216093,"LLT-1-I-09-M",0.455905008216093,0.597394646567215,4.00388361501999
"153","LLT-1-I-09-T-D2","LLT-1",1,"I",9,"T","D2",793,0.416741353984919,"LLT-1-I-09-T",0.416741353984919,0.524486025172881,3.21895393864726
"154","LLT-1-I-12-L-D2","LLT-1",1,"I",12,"L","D2",793,0.401882136740211,"LLT-1-I-12-L",0.401882136740211,0.577605524546646,3.75733858752073
"155","LLT-1-I-12-M-D2","LLT-1",1,"I",12,"M","D2",793,0.407279473104033,"LLT-1-I-12-M",0.407279473104033,0.595587983888522,3.92591987642181
"156","LLT-1-I-12-T-D2","LLT-1",1,"I",12,"T","D2",793,0.428667302694345,"LLT-1-I-12-T",0.428667302694345,0.639677070249637,4.61325968489823
"157","LLT-1-I-15-L-D2","LLT-1",1,"I",15,"L","D2",793,0.399695791742963,"LLT-1-I-15-L",0.399695791742963,0.554342931169621,3.48456428498496
"158","LLT-1-I-15-M-D2","LLT-1",1,"I",15,"M","D2",793,0.423219754679622,"LLT-1-I-15-M",0.423219754679622,0.555238518152196,3.53491021928787
"159","LLT-1-I-15-T-D2","LLT-1",1,"I",15,"T","D2",793,0.426170418969877,"LLT-1-I-15-T",0.426170418969877,0.663258532215115,4.92371795077002
"160","LLT-1-I-18-L-D2","LLT-1",1,"I",18,"L","D2",793,0.429511707671348,"LLT-1-I-18-L",0.429511707671348,0.562475093985146,3.61601435483894
"161","LLT-1-I-18-M-D2","LLT-1",1,"I",18,"M","D2",793,0.465261177784897,"LLT-1-I-18-M",0.465261177784897,0.588725764952835,3.86551061566572
"162","LLT-1-I-18-T-D2","LLT-1",1,"I",18,"T","D2",793,0.449511093560168,"LLT-1-I-18-T",0.449511093560168,0.539187077870602,3.32379078033847
"163","LLT-1-I-21-L-D2","LLT-1",1,"I",21,"L","D2",793,0.457832975975997,"LLT-1-I-21-L",0.457832975975997,0.635572170059064,4.4708764969168
"164","LLT-1-I-21-M-D2","LLT-1",1,"I",21,"M","D2",793,0.436278922584099,"LLT-1-I-21-M",0.436278922584099,0.678111663756602,5.19102633419983
"165","LLT-1-I-21-T-D2","LLT-1",1,"I",21,"T","D2",793,0.440211948675379,"LLT-1-I-21-T",0.440211948675379,0.500684079274631,2.98369942884231
"166","LLT-1-I-24-L-D2","LLT-1",1,"I",24,"L","D2",793,0.441536907170245,"LLT-1-I-24-L",0.441536907170245,0.660377591646237,4.92378307065165
"167","LLT-1-I-24-M-D2","LLT-1",1,"I",24,"M","D2",793,0.395594870899139,"LLT-1-I-24-M",0.395594870899139,0.652540931604125,4.73625400195827
"168","LLT-1-I-24-T-D2","LLT-1",1,"I",24,"T","D2",793,0.430300856677928,"LLT-1-I-24-T",0.430300856677928,0.507111189974282,3.01901787657769
