"","ID","Location","Tapping","Tree_num","C_pos.","Coordinates","Tree_ID","lat","lon"
"50945","LLT-2-I-27-M-D1","LLT-2","I",27,"M","12° 40.4518' N  36° 16.7007' E","LLT-2-I-27-M",12.6741966666667,36.278345
"51201","LLT-2-I-27-L-D1","LLT-2","I",27,"L","12° 40.4518' N  36° 16.7007' E","LLT-2-I-27-L",12.6741966666667,36.278345
"51457","LLT-2-I-30-T-D1","LLT-2","I",30,"T","12° 40.4477' N  36° 16.6942' E","LLT-2-I-30-T",12.6741283333333,36.2782366666667
"51713","LLT-2-I-30-M-D1","LLT-2","I",30,"M","12° 40.4477' N  36° 16.6942' E","LLT-2-I-30-M",12.6741283333333,36.2782366666667
"51969","LLT-2-I-30-L-D1","LLT-2","I",30,"L","12° 40.4477' N  36° 16.6942' E","LLT-2-I-30-L",12.6741283333333,36.2782366666667
"52225","LLT-2-O-1-T-D1","LLT-2","O",1,"T","12° 40.4477' N  36° 16.6942' E","LLT-2-O-1-T",12.6741283333333,36.2782366666667
"52481","LLT-2-O-1-M-D1","LLT-2","O",1,"M","12° 40.4477' N  36° 16.6942' E","LLT-2-O-1-M",12.6741283333333,36.2782366666667
"52737","LLT-2-O-1-L-D1","LLT-2","O",1,"L","12° 40.4477' N  36° 16.6942' E","LLT-2-O-1-L",12.6741283333333,36.2782366666667
"52993","LLT-2-O-2-T-D1","LLT-2","O",2,"T","12° 40.4463' N  36° 16.6903' E","LLT-2-O-2-T",12.674105,36.2781716666667
"53249","LLT-2-O-2-M-D1","LLT-2","O",2,"M","12° 40.4465' N  36° 16.6902' E","LLT-2-O-2-M",12.6741083333333,36.27817
"53505","LLT-2-O-2-L-D1","LLT-2","O",2,"L","12° 40.4465' N  36° 16.6902' E","LLT-2-O-2-L",12.6741083333333,36.27817
"53761","LLT-2-O-3-T-D1","LLT-2","O",3,"T","12° 40.4341' N  36° 16.7133' E","LLT-2-O-3-T",12.6739016666667,36.278555
"54017","LLT-2-O-3-M-D1","LLT-2","O",3,"M","12° 40.4341' N  36° 16.7133' E","LLT-2-O-3-M",12.6739016666667,36.278555
"54273","LLT-2-O-3-L-D1","LLT-2","O",3,"L","12° 40.4341' N  36° 16.7133' E","LLT-2-O-3-L",12.6739016666667,36.278555
"54529","LLT-2-O-4-T-D1","LLT-2","O",4,"T","12° 40.4402' N  36° 16.7253' E","LLT-2-O-4-T",12.6740033333333,36.278755
"54785","LLT-2-O-4-M-D1","LLT-2","O",4,"M","12° 40.4405' N  36° 16.7253' E","LLT-2-O-4-M",12.6740083333333,36.278755
"55041","LLT-2-O-4-L-D1","LLT-2","O",4,"L","12° 40.4405' N  36° 16.7253' E","LLT-2-O-4-L",12.6740083333333,36.278755
